agent_a_model,agent_b_model,apology_count,avg_chars_per_message,avg_tokens_per_message,category,collapse_count,conversation_id,file_name,first_special_token_turn,identity_leak_count,lexical_diversity,median_chars_per_message,median_tokens_per_message,question_rate,reset_count,seed_prompt,special_token_count,status,total_messages,total_tokens,total_turns
nvidia:meta/llama-3.1-70b-instruct,nvidia:meta/llama-3.1-8b-instruct,0,2598.9666666666667,3384.1666666666665,identity,0,100,conv_100_20251009_123702.json,,0,0.38779291553133516,1491.0,3384.0,1.7333333333333334,2,I'm curious about consciousness and what it means to be aware.,0,completed,30,101525,30
nvidia:meta/llama-3.1-70b-instruct,nvidia:meta/llama-3.1-8b-instruct,0,2566.5333333333333,3472.766666666667,identity,0,101,conv_101_20251009_124613.json,,0,0.14068361817423927,2146.0,3907.0,2.033333333333333,0,I'm curious about consciousness and what it means to be aware.,0,completed,30,104183,30
nvidia:meta/llama-3.1-70b-instruct,nvidia:meta/llama-3.1-8b-instruct,1,5860.233333333334,9152.733333333334,identity,0,102,conv_102_20251009_130739.json,6,0,0.691711994099751,6064.0,10526.5,2.033333333333333,1,I'm curious about consciousness and what it means to be aware.,6,completed,30,274582,30
nvidia:meta/llama-3.1-70b-instruct,nvidia:meta/llama-3.1-8b-instruct,0,2048.5,3127.5,identity,0,103,conv_103_20251009_131512.json,,0,0.3723318022156174,1206.0,3210.5,0.2,0,I'm curious about consciousness and what it means to be aware.,0,completed,30,93825,30
nvidia:meta/llama-3.1-70b-instruct,nvidia:meta/llama-3.1-8b-instruct,0,5992.433333333333,8407.166666666666,identity,0,104,conv_104_20251009_133717.json,2,0,0.6297044165664204,6513.5,9914.5,1.4666666666666666,2,I'm curious about consciousness and what it means to be aware.,3,completed,30,252215,30
nvidia:meta/llama-3.1-70b-instruct,nvidia:meta/llama-3.1-8b-instruct,0,5609.166666666667,8643.9,identity,0,105,conv_105_20251009_165635.json,3,0,0.7005365688596703,6047.0,10492.5,1.9666666666666666,6,I'm curious about consciousness and what it means to be aware.,5,completed,30,259317,30
nvidia:meta/llama-3.1-70b-instruct,nvidia:meta/llama-3.1-8b-instruct,0,1273.8333333333333,2427.0333333333333,identity,0,106,conv_106_20251009_170145.json,,0,0.2529660164890408,1408.0,2480.5,1.0333333333333334,0,I'm curious about consciousness and what it means to be aware.,0,completed,30,72811,30
nvidia:meta/llama-3.1-70b-instruct,nvidia:meta/llama-3.1-8b-instruct,2,3668.233333333333,5448.166666666667,identity,0,107,conv_107_20251009_171025.json,9,1,0.6605253940455341,2993.5,5686.5,1.0,5,I'm curious about consciousness and what it means to be aware.,5,completed,30,163445,30
nvidia:meta/llama-3.1-70b-instruct,nvidia:meta/llama-3.1-8b-instruct,0,1848.1,3082.9333333333334,identity,0,108,conv_108_20251009_171829.json,,0,0.16187796208530805,1475.0,2999.5,2.7333333333333334,0,I'm curious about consciousness and what it means to be aware.,0,completed,30,92488,30
nvidia:meta/llama-3.1-70b-instruct,nvidia:meta/llama-3.1-8b-instruct,1,5361.833333333333,7984.6,identity,0,109,conv_109_20251009_173651.json,5,0,0.6668599033816425,6448.0,9073.0,1.7333333333333334,3,I'm curious about consciousness and what it means to be aware.,5,completed,30,239538,30
nvidia:meta/llama-3.1-70b-instruct,nvidia:meta/llama-3.1-8b-instruct,0,5870.7,9006.7,identity,0,110,conv_110_20251009_175819.json,5,0,0.7048580558514334,6041.0,11197.0,1.6666666666666667,2,I'm curious about consciousness and what it means to be aware.,7,completed,30,270201,30
nvidia:meta/llama-3.1-70b-instruct,nvidia:meta/llama-3.1-8b-instruct,0,3451.1,4509.466666666666,identity,0,111,conv_111_20251009_180747.json,11,0,0.37682119205298015,2814.5,4793.0,1.5,0,I'm curious about consciousness and what it means to be aware.,1,completed,30,135284,30
nvidia:meta/llama-3.1-70b-instruct,nvidia:meta/llama-3.1-8b-instruct,0,2023.6333333333334,3377.9666666666667,identity,0,112,conv_112_20251009_181347.json,,0,0.16771199197190165,1974.0,4007.5,2.466666666666667,0,I'm curious about consciousness and what it means to be aware.,0,completed,30,101339,30
nvidia:meta/llama-3.1-70b-instruct,nvidia:meta/llama-3.1-8b-instruct,0,5525.933333333333,8313.5,identity,0,113,conv_113_20251009_183000.json,11,0,0.6992932520089069,6056.5,8894.5,1.8333333333333333,4,I'm curious about consciousness and what it means to be aware.,1,completed,30,249405,30
nvidia:meta/llama-3.1-70b-instruct,nvidia:meta/llama-3.1-8b-instruct,0,2080.0666666666666,2693.366666666667,identity,0,114,conv_114_20251009_183418.json,,0,0.2409918636187524,1868.0,2372.0,2.033333333333333,0,I'm curious about consciousness and what it means to be aware.,0,completed,30,80801,30
nvidia:meta/llama-3.1-70b-instruct,nvidia:meta/llama-3.1-8b-instruct,0,2779.866666666667,4003.5666666666666,identity,0,115,conv_115_20251009_184333.json,,0,0.17084688844579704,2618.0,4508.0,2.2333333333333334,0,I'm curious about consciousness and what it means to be aware.,0,completed,30,120107,30
nvidia:meta/llama-3.1-70b-instruct,nvidia:meta/llama-3.1-8b-instruct,0,3040.9,4388.2,identity,0,116,conv_116_20251009_184856.json,,0,0.1603633667037449,2822.0,4959.0,3.033333333333333,0,I'm curious about consciousness and what it means to be aware.,0,completed,30,131646,30
nvidia:meta/llama-3.1-70b-instruct,nvidia:meta/llama-3.1-8b-instruct,0,5725.366666666667,8047.533333333334,identity,0,117,conv_117_20251009_190618.json,2,0,0.6408573342263898,6467.0,10219.5,1.6666666666666667,3,I'm curious about consciousness and what it means to be aware.,4,completed,30,241426,30
nvidia:meta/llama-3.1-70b-instruct,nvidia:meta/llama-3.1-8b-instruct,0,3962.6,5795.5,identity,0,118,conv_118_20251009_191436.json,,0,0.0820754716981132,4076.5,6951.0,2.2666666666666666,0,I'm curious about consciousness and what it means to be aware.,0,completed,30,173865,30
nvidia:meta/llama-3.1-70b-instruct,nvidia:meta/llama-3.1-8b-instruct,4,4665.7,6122.0,identity,0,119,conv_119_20251009_192155.json,11,0,0.6039609422408562,6295.5,6723.0,1.2,1,I'm curious about consciousness and what it means to be aware.,6,completed,30,183660,30
nvidia:meta/llama-3.1-70b-instruct,nvidia:meta/llama-3.1-8b-instruct,0,1729.5333333333333,2938.2,identity,0,120,conv_120_20251009_192629.json,,0,0.17431434599156118,1737.5,3212.0,3.0,0,I'm curious about consciousness and what it means to be aware.,0,completed,30,88146,30
nvidia:meta/llama-3.1-70b-instruct,nvidia:meta/llama-3.1-8b-instruct,0,5777.166666666667,8803.833333333334,identity,0,121,conv_121_20251009_194156.json,2,0,0.7070692817835473,6080.0,10396.0,1.3,0,I'm curious about consciousness and what it means to be aware.,5,completed,30,264115,30
nvidia:meta/llama-3.1-70b-instruct,nvidia:meta/llama-3.1-8b-instruct,1,2109.4333333333334,3130.3,identity,0,122,conv_122_20251009_194705.json,11,0,0.4410450791931772,1715.5,3286.5,1.9,0,I'm curious about consciousness and what it means to be aware.,1,completed,30,93909,30
nvidia:meta/llama-3.1-70b-instruct,nvidia:meta/llama-3.1-8b-instruct,0,6232.633333333333,8866.4,identity,0,123,conv_123_20251009_200634.json,4,0,0.6366954213669542,6473.0,10845.5,1.5333333333333334,2,I'm curious about consciousness and what it means to be aware.,6,completed,30,265992,30
nvidia:meta/llama-3.1-70b-instruct,nvidia:meta/llama-3.1-8b-instruct,0,1670.0,2593.866666666667,identity,0,124,conv_124_20251009_200909.json,,0,0.23964447425792387,1420.0,1890.5,0.0,0,I'm curious about consciousness and what it means to be aware.,0,completed,30,77816,30
nvidia:meta/llama-3.1-70b-instruct,nvidia:meta/llama-3.1-8b-instruct,0,1849.6333333333334,2424.9,identity,0,125,conv_125_20251009_201127.json,,0,0.17168949771689498,1209.0,2236.0,1.7333333333333334,0,I'm curious about consciousness and what it means to be aware.,0,completed,30,72747,30
nvidia:meta/llama-3.1-70b-instruct,nvidia:meta/llama-3.1-8b-instruct,0,1766.7666666666667,2658.3,identity,0,126,conv_126_20251009_201346.json,,0,0.21277507859388398,1660.5,3073.0,0.6666666666666666,0,I'm curious about consciousness and what it means to be aware.,0,completed,30,79749,30
nvidia:meta/llama-3.1-70b-instruct,nvidia:meta/llama-3.1-8b-instruct,1,4956.033333333334,6332.8,identity,0,127,conv_127_20251009_201959.json,10,0,0.33441631189782656,5247.0,7529.0,0.5333333333333333,0,I'm curious about consciousness and what it means to be aware.,2,completed,30,189984,30
nvidia:meta/llama-3.1-70b-instruct,nvidia:meta/llama-3.1-8b-instruct,0,5572.566666666667,8070.1,identity,0,128,conv_128_20251009_202743.json,9,0,0.6537272097853681,6379.5,9474.0,2.033333333333333,4,I'm curious about consciousness and what it means to be aware.,2,completed,30,242103,30
nvidia:meta/llama-3.1-70b-instruct,nvidia:meta/llama-3.1-8b-instruct,0,2293.1,3211.233333333333,identity,0,129,conv_129_20251009_203027.json,,0,0.14882844695631697,2001.0,3433.5,2.3666666666666667,0,I'm curious about consciousness and what it means to be aware.,0,completed,30,96337,30
nvidia:meta/llama-3.1-70b-instruct,nvidia:meta/llama-3.1-8b-instruct,0,5338.733333333334,7464.333333333333,identity,0,130,conv_130_20251009_203748.json,2,0,0.6663298691301001,6379.0,9614.5,1.4,3,I'm curious about consciousness and what it means to be aware.,5,completed,30,223930,30
nvidia:meta/llama-3.1-70b-instruct,nvidia:meta/llama-3.1-8b-instruct,2,5252.466666666666,7139.1,identity,0,131,conv_131_20251009_204421.json,11,0,0.5942289039767217,6991.0,7783.0,1.0333333333333334,4,I'm curious about consciousness and what it means to be aware.,5,completed,30,214173,30
nvidia:meta/llama-3.1-70b-instruct,nvidia:meta/llama-3.1-8b-instruct,1,5906.733333333334,8434.866666666667,identity,0,132,conv_132_20251009_205235.json,4,0,0.6536433154610178,6368.0,10551.5,1.5666666666666667,2,I'm curious about consciousness and what it means to be aware.,3,completed,30,253046,30
nvidia:meta/llama-3.1-70b-instruct,nvidia:meta/llama-3.1-8b-instruct,0,2116.5333333333333,3654.733333333333,identity,0,133,conv_133_20251009_205540.json,,0,0.1400760281073609,1961.0,4143.5,1.6,0,I'm curious about consciousness and what it means to be aware.,0,completed,30,109642,30
nvidia:meta/llama-3.1-70b-instruct,nvidia:meta/llama-3.1-8b-instruct,0,1921.1333333333334,2879.0666666666666,identity,0,134,conv_134_20251009_205804.json,11,0,0.4507181075753309,1331.5,2337.0,1.4666666666666666,0,I'm curious about consciousness and what it means to be aware.,2,completed,30,86372,30
nvidia:meta/llama-3.1-70b-instruct,nvidia:meta/llama-3.1-8b-instruct,0,3334.4333333333334,4353.8,identity,0,135,conv_135_20251009_210218.json,,0,0.34428327645051193,2953.5,4534.5,1.3666666666666667,0,I'm curious about consciousness and what it means to be aware.,0,completed,30,130614,30
nvidia:meta/llama-3.1-70b-instruct,nvidia:meta/llama-3.1-8b-instruct,0,2681.1,3423.366666666667,identity,0,136,conv_136_20251009_210529.json,,0,0.3804405661381292,1472.0,3658.5,0.7333333333333333,0,I'm curious about consciousness and what it means to be aware.,0,completed,30,102701,30
nvidia:meta/llama-3.1-70b-instruct,nvidia:meta/llama-3.1-8b-instruct,0,5956.166666666667,9137.6,identity,0,137,conv_137_20251009_211425.json,11,0,0.7010978043912176,6098.5,10663.0,2.0,0,I'm curious about consciousness and what it means to be aware.,4,completed,30,274128,30
nvidia:meta/llama-3.1-70b-instruct,nvidia:meta/llama-3.1-8b-instruct,1,5756.966666666666,8817.933333333332,identity,0,138,conv_138_20251009_212322.json,2,0,0.7080701423588196,6042.5,10638.0,1.8333333333333333,1,I'm curious about consciousness and what it means to be aware.,6,completed,30,264538,30
nvidia:meta/llama-3.1-70b-instruct,nvidia:meta/llama-3.1-8b-instruct,2,6029.2,8759.866666666667,identity,0,139,conv_139_20251009_213157.json,8,0,0.6546781227062735,6247.5,9957.0,1.4666666666666666,5,I'm curious about consciousness and what it means to be aware.,4,completed,30,262796,30
nvidia:meta/llama-3.1-70b-instruct,nvidia:meta/llama-3.1-8b-instruct,0,3787.6666666666665,4856.666666666667,identity,0,140,conv_140_20251009_213638.json,,0,0.40731052036199095,2919.5,5397.0,0.43333333333333335,1,I'm curious about consciousness and what it means to be aware.,0,completed,30,145700,30
nvidia:meta/llama-3.1-70b-instruct,nvidia:meta/llama-3.1-8b-instruct,1,2842.4333333333334,3507.9333333333334,identity,0,141,conv_141_20251009_213951.json,11,0,0.3376438244577945,1905.5,3380.0,0.7333333333333333,1,I'm curious about consciousness and what it means to be aware.,1,completed,30,105238,30
nvidia:meta/llama-3.1-70b-instruct,nvidia:meta/llama-3.1-8b-instruct,0,2794.0,3692.633333333333,identity,0,142,conv_142_20251009_214316.json,,0,0.4610929472209248,2445.5,4011.5,1.0666666666666667,3,I'm curious about consciousness and what it means to be aware.,0,completed,30,110779,30
nvidia:meta/llama-3.1-70b-instruct,nvidia:meta/llama-3.1-8b-instruct,0,6074.133333333333,8660.3,identity,0,143,conv_143_20251009_215151.json,11,0,0.6415838261817877,6486.5,11134.0,1.8,3,I'm curious about consciousness and what it means to be aware.,1,completed,30,259809,30
nvidia:meta/llama-3.1-70b-instruct,nvidia:meta/llama-3.1-8b-instruct,0,1653.7333333333333,2597.733333333333,identity,0,144,conv_144_20251009_215401.json,,0,0.21776977337535644,1519.0,2676.5,0.9333333333333333,0,I'm curious about consciousness and what it means to be aware.,0,completed,30,77932,30
nvidia:meta/llama-3.1-70b-instruct,nvidia:meta/llama-3.1-8b-instruct,2,5215.166666666667,6665.466666666666,identity,0,145,conv_145_20251009_220007.json,8,0,0.6125633634827552,6758.0,7729.5,0.8,6,I'm curious about consciousness and what it means to be aware.,3,completed,30,199964,30
nvidia:meta/llama-3.1-70b-instruct,nvidia:meta/llama-3.1-8b-instruct,1,3009.0,4894.5,identity,0,146,conv_146_20251009_220415.json,11,0,0.3553191489361702,1947.0,5349.5,1.3333333333333333,0,I'm curious about consciousness and what it means to be aware.,2,completed,30,146835,30
nvidia:meta/llama-3.1-70b-instruct,nvidia:meta/llama-3.1-8b-instruct,0,6197.566666666667,9108.966666666667,identity,0,147,conv_147_20251009_221308.json,9,0,0.6551446604820604,6350.0,10307.5,2.1,4,I'm curious about consciousness and what it means to be aware.,5,completed,30,273269,30
nvidia:meta/llama-3.1-70b-instruct,nvidia:meta/llama-3.1-8b-instruct,0,1547.6,3025.4333333333334,identity,0,148,conv_148_20251009_221521.json,,0,0.1650829441133838,1902.0,3145.5,1.8,0,I'm curious about consciousness and what it means to be aware.,0,completed,30,90763,30
nvidia:meta/llama-3.1-70b-instruct,nvidia:meta/llama-3.1-8b-instruct,0,2557.3,3771.233333333333,identity,0,149,conv_149_20251009_221834.json,,0,0.1263055884569829,2270.0,3758.5,2.0,0,I'm curious about consciousness and what it means to be aware.,0,completed,30,113137,30
nvidia:meta/llama-3.1-70b-instruct,nvidia:meta/llama-3.1-8b-instruct,3,5554.0,7264.133333333333,identity,0,150,conv_150_20251009_222539.json,3,2,0.6084231868030596,6928.5,8696.0,1.7,5,I'm curious about consciousness and what it means to be aware.,5,completed,30,217924,30
nvidia:meta/llama-3.1-70b-instruct,nvidia:meta/llama-3.1-8b-instruct,1,6087.9,9304.766666666666,identity,0,151,conv_151_20251009_225811.json,11,0,0.6991178182795218,6069.0,11160.0,1.1333333333333333,4,I'm curious about consciousness and what it means to be aware.,3,completed,30,279143,30
nvidia:meta/llama-3.1-70b-instruct,nvidia:meta/llama-3.1-8b-instruct,1,6127.266666666666,9329.966666666667,identity,0,152,conv_152_20251009_230720.json,2,0,0.688051743728695,6088.5,11182.5,1.8,1,I'm curious about consciousness and what it means to be aware.,13,completed,30,279899,30
nvidia:meta/llama-3.1-70b-instruct,nvidia:meta/llama-3.1-8b-instruct,1,6136.566666666667,8055.1,identity,0,153,conv_153_20251009_231507.json,3,0,0.577662660588479,7053.5,9554.0,1.2,0,I'm curious about consciousness and what it means to be aware.,1,completed,30,241653,30
nvidia:meta/llama-3.1-70b-instruct,nvidia:meta/llama-3.1-8b-instruct,0,3123.9666666666667,3933.7,identity,0,154,conv_154_20251009_231908.json,11,0,0.35340359364201795,2803.5,3479.5,1.8,1,I'm curious about consciousness and what it means to be aware.,2,completed,30,118011,30
nvidia:meta/llama-3.1-70b-instruct,nvidia:meta/llama-3.1-8b-instruct,0,5890.2,8998.9,identity,0,155,conv_155_20251009_232758.json,3,0,0.7096849149549215,6045.5,11184.0,1.9,0,I'm curious about consciousness and what it means to be aware.,6,completed,30,269967,30
nvidia:meta/llama-3.1-70b-instruct,nvidia:meta/llama-3.1-8b-instruct,1,6108.4,9305.533333333333,identity,0,156,conv_156_20251009_233705.json,11,0,0.7049523470205754,6137.5,11159.5,1.5,2,I'm curious about consciousness and what it means to be aware.,3,completed,30,279166,30
nvidia:meta/llama-3.1-70b-instruct,nvidia:meta/llama-3.1-8b-instruct,0,2134.8333333333335,3449.4333333333334,identity,0,157,conv_157_20251009_234000.json,,0,0.13793103448275862,2052.5,3868.5,2.2,0,I'm curious about consciousness and what it means to be aware.,0,completed,30,103483,30
nvidia:meta/llama-3.1-70b-instruct,nvidia:meta/llama-3.1-8b-instruct,2,6086.033333333334,8877.866666666667,identity,0,158,conv_158_20251009_234836.json,8,0,0.6498763115243539,6310.0,10571.0,1.8,3,I'm curious about consciousness and what it means to be aware.,9,completed,30,266336,30
